"Feature","Value"
"ADC_log-sigma-4-0-mm-3D_glcm_JointEnergy",0.566103747
"ADC_log-sigma-4-0-mm-3D_glcm_JointEntropy",1.167095041
"ADC_log-sigma-4-0-mm-3D_glcm_Imc1",-0.516760452
"ADC_log-sigma-4-0-mm-3D_glcm_Imc2",0.743076842
"ADC_log-sigma-4-0-mm-3D_glcm_Idm",0.959719772
"ADC_log-sigma-4-0-mm-3D_glcm_Idmn",0.983887909
"ADC_log-sigma-4-0-mm-3D_glcm_Id",0.959719772
"ADC_log-sigma-4-0-mm-3D_glcm_Idn",0.973146514
"ADC_log-sigma-4-0-mm-3D_glcm_InverseVariance",0.080560457
"ADC_log-sigma-4-0-mm-3D_glcm_MaximumProbability",0.724016034
"ADC_log-sigma-4-0-mm-3D_glcm_SumEntropy",1.086534584
"ADC_log-sigma-4-0-mm-3D_glcm_SumSquares",0.180061052
"ADC_log-sigma-4-0-mm-3D_gldm_DependenceEntropy",3.690370785
"ADC_log-sigma-4-0-mm-3D_gldm_DependenceNonUniformity",5093.436362
"ADC_log-sigma-4-0-mm-3D_gldm_DependenceNonUniformityNormalized",0.269665203
"ADC_log-sigma-4-0-mm-3D_gldm_GrayLevelNonUniformity",11428.35419
"ADC_log-sigma-4-0-mm-3D_gldm_GrayLevelVariance",0.197470505
"ADC_log-sigma-4-0-mm-3D_gldm_HighGrayLevelEmphasis",1.812420584
"ADC_log-sigma-4-0-mm-3D_gldm_LargeDependenceEmphasis",544.6730199
"ADC_log-sigma-4-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis",835.2475116
"ADC_log-sigma-4-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis",472.029397
"ADC_log-sigma-4-0-mm-3D_gldm_LowGrayLevelEmphasis",0.796894854
"ADC_log-sigma-4-0-mm-3D_glrlm_GrayLevelNonUniformity",1598.597928
"ADC_log-sigma-4-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized",0.508024074
"ADC_log-sigma-4-0-mm-3D_glrlm_GrayLevelVariance",0.245987963
"ADC_log-sigma-4-0-mm-3D_glrlm_HighGrayLevelRunEmphasis",2.684324106
"ADC_log-sigma-4-0-mm-3D_glrlm_LongRunEmphasis",84.81416433
"ADC_log-sigma-4-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis",113.4167539
"ADC_log-sigma-4-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis",77.66351693
"ADC_log-sigma-4-0-mm-3D_glrlm_LowGrayLevelRunEmphasis",0.578918973
"ADC_log-sigma-4-0-mm-3D_glrlm_RunVariance",40.34501107
"ADC_log-sigma-4-0-mm-3D_glszm_HighGrayLevelZoneEmphasis",2
"ADC_log-sigma-4-0-mm-3D_glszm_LargeAreaEmphasis",71861164.67
"ADC_log-sigma-4-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis",98024389.67
"ADC_log-sigma-4-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis",65320358.42
"ADC_log-sigma-4-0-mm-3D_glszm_LowGrayLevelZoneEmphasis",0.75
"ADC_log-sigma-4-0-mm-3D_glszm_ZoneVariance",32221548.67
"ADC_log-sigma-4-0-mm-3D_ngtdm_Coarseness",0.001323183
"ADC_log-sigma-4-0-mm-3D_ngtdm_Complexity",0.080024736
"ADC_log-sigma-4-0-mm-3D_ngtdm_Contrast",0.016208266
"ADC_log-sigma-4-0-mm-3D_ngtdm_Strength",0.001290059
"ADC_log-sigma-5-0-mm-3D_firstorder_10Percentile",-0.888605976
"ADC_log-sigma-5-0-mm-3D_firstorder_90Percentile",0.155847374
"ADC_log-sigma-5-0-mm-3D_firstorder_Energy",5450.572369
"ADC_log-sigma-5-0-mm-3D_firstorder_Entropy",0.773065185
"ADC_log-sigma-5-0-mm-3D_firstorder_InterquartileRange",0.634084784
"ADC_log-sigma-5-0-mm-3D_firstorder_Kurtosis",2.194322317
"ADC_log-sigma-5-0-mm-3D_firstorder_Maximum",0.604805648
"ADC_log-sigma-5-0-mm-3D_firstorder_MeanAbsoluteDeviation",0.337979082
"ADC_log-sigma-5-0-mm-3D_firstorder_Mean",-0.359084821
"ADC_log-sigma-5-0-mm-3D_firstorder_Median",-0.3621189
"ADC_log-sigma-5-0-mm-3D_firstorder_Minimum",-1.371247888
"ADC_log-sigma-5-0-mm-3D_firstorder_Range",1.976053536
"ADC_log-sigma-5-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation",0.25746046
"ADC_log-sigma-5-0-mm-3D_firstorder_RootMeanSquared",0.537190184
"ADC_log-sigma-5-0-mm-3D_firstorder_Skewness",-0.037381875
"ADC_log-sigma-5-0-mm-3D_firstorder_TotalEnergy",5450.572369
"ADC_log-sigma-5-0-mm-3D_firstorder_Uniformity",0.648860109
"ADC_log-sigma-5-0-mm-3D_firstorder_Variance",0.159631385
"ADC_log-sigma-5-0-mm-3D_glcm_Autocorrelation",1.551667711
"ADC_log-sigma-5-0-mm-3D_glcm_JointAverage",1.194149616
"ADC_log-sigma-5-0-mm-3D_glcm_ClusterProminence",1.125636273
"ADC_log-sigma-5-0-mm-3D_glcm_ClusterShade",0.650900867
"ADC_log-sigma-5-0-mm-3D_glcm_ClusterTendency",0.56390883
"ADC_log-sigma-5-0-mm-3D_glcm_Contrast",0.061562271
"ADC_log-sigma-5-0-mm-3D_glcm_Correlation",0.801920971
"ADC_log-sigma-5-0-mm-3D_glcm_DifferenceAverage",0.061562271
"ADC_log-sigma-5-0-mm-3D_glcm_DifferenceEntropy",0.33112823
"ADC_log-sigma-5-0-mm-3D_glcm_DifferenceVariance",0.057577471
"ADC_log-sigma-5-0-mm-3D_glcm_JointEnergy",0.629686979
"ADC_log-sigma-5-0-mm-3D_glcm_JointEntropy",1.017747135
"ADC_log-sigma-5-0-mm-3D_glcm_Imc1",-0.564509469
"ADC_log-sigma-5-0-mm-3D_glcm_Imc2",0.739804883
"ADC_log-sigma-5-0-mm-3D_glcm_Idm",0.969218865
"ADC_log-sigma-5-0-mm-3D_glcm_Idmn",0.987687546
"ADC_log-sigma-5-0-mm-3D_glcm_Id",0.969218865
"ADC_log-sigma-5-0-mm-3D_glcm_Idn",0.979479243
"ADC_log-sigma-5-0-mm-3D_glcm_InverseVariance",0.061562271
"ADC_log-sigma-5-0-mm-3D_glcm_MaximumProbability",0.775069249
"ADC_log-sigma-5-0-mm-3D_glcm_SumEntropy",0.956184864
"ADC_log-sigma-5-0-mm-3D_glcm_SumSquares",0.156367775
"ADC_log-sigma-5-0-mm-3D_gldm_DependenceEntropy",3.422180805
"ADC_log-sigma-5-0-mm-3D_gldm_DependenceNonUniformity",5978.012177
"ADC_log-sigma-5-0-mm-3D_gldm_DependenceNonUniformityNormalized",0.316497892
"ADC_log-sigma-5-0-mm-3D_gldm_GrayLevelNonUniformity",12255.66974
"ADC_log-sigma-5-0-mm-3D_gldm_GrayLevelVariance",0.175569946
"ADC_log-sigma-5-0-mm-3D_gldm_HighGrayLevelEmphasis",1.681543837
"ADC_log-sigma-5-0-mm-3D_gldm_LargeDependenceEmphasis",563.545108
"ADC_log-sigma-5-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis",807.3587992
"ADC_log-sigma-5-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis",502.5916852
"ADC_log-sigma-5-0-mm-3D_gldm_LowGrayLevelEmphasis",0.829614041
"ADC_log-sigma-5-0-mm-3D_glrlm_GrayLevelNonUniformity",1418.725618
"ADC_log-sigma-5-0-mm-3D_glrlm_HighGrayLevelRunEmphasis",2.584733885
"ADC_log-sigma-5-0-mm-3D_glrlm_LongRunEmphasis",102.8112823
"ADC_log-sigma-5-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis",130.3134507
"ADC_log-sigma-5-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis",95.93574014
"ADC_log-sigma-5-0-mm-3D_glrlm_LowGrayLevelRunEmphasis",0.603816529
"ADC_log-sigma-5-0-mm-3D_glrlm_RunVariance",46.78648472
"ADC_log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity",1
"ADC_log-sigma-5-0-mm-3D_glszm_HighGrayLevelZoneEmphasis",2.5
"ADC_log-sigma-5-0-mm-3D_glszm_LowGrayLevelZoneEmphasis",0.625
"ADC_log-sigma-5-0-mm-3D_ngtdm_Coarseness",0.00173082
"ADC_log-sigma-5-0-mm-3D_ngtdm_Complexity",0.061177546
"ADC_log-sigma-5-0-mm-3D_ngtdm_Contrast",0.011184169
"ADC_log-sigma-5-0-mm-3D_ngtdm_Strength",0.001662228
"ADC_wavelet-LLH_firstorder_10Percentile",-0.055941936
"ADC_wavelet-LLH_firstorder_90Percentile",0.017561604
"ADC_wavelet-LLH_firstorder_Energy",83.17693177
"ADC_wavelet-LLH_firstorder_Entropy",0.992626557
"ADC_wavelet-LLH_firstorder_InterquartileRange",0.009195199
"ADC_wavelet-LLH_firstorder_Kurtosis",12.32117636
"ADC_wavelet-LLH_firstorder_Maximum",0.394617721
"ADC_wavelet-LLH_firstorder_MeanAbsoluteDeviation",0.032701743
"ADC_wavelet-LLH_firstorder_Mean",-0.009281513
"ADC_wavelet-LLH_firstorder_Median",-0.00019817
"ADC_wavelet-LLH_firstorder_Minimum",-0.486872642
"ADC_wavelet-LLH_firstorder_Range",0.881490363
"ADC_wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation",0.007517091
"ADC_wavelet-LLH_firstorder_RootMeanSquared",0.066360318
"ADC_wavelet-LLH_firstorder_Skewness",-0.769933708
"ADC_wavelet-LLH_firstorder_TotalEnergy",83.17693177
"ADC_wavelet-LLH_firstorder_Uniformity",0.505102168
"ADC_wavelet-LLH_firstorder_Variance",0.004317545
"ADC_wavelet-LLH_glcm_Autocorrelation",2.152462394
"ADC_wavelet-LLH_glcm_JointAverage",1.444235642
"ADC_wavelet-LLH_glcm_ClusterProminence",0.636569466
"ADC_wavelet-LLH_glcm_ClusterShade",0.098649969
"ADC_wavelet-LLH_glcm_ClusterTendency",0.627059257
"ADC_wavelet-LLH_glcm_Contrast",0.360489067
